"Name","State","Notes","User","Tags","Created","Runtime","Sweep","_artifact_callback","_callback","_items._artifact_callback","_items._callback","_items._items.activation","_items._items.bc_type","_items._items.iterations","_items._items.learning_rates","_items._items.loss_type","_items._items.n_layers","_items._items.net_type","_items._items.num_boundary","_items._items.num_domain","_items._items.optimizers","_items._items.size_layers","_items._items.train_distribution","_items._settings","_items._users_cnt","_items.activation","_items.bc_type","_items.iterations","_items.learning_rates","_items.loss_type","_items.n_layers","_items.net_type","_items.num_boundary","_items.num_domain","_items.num_samples","_items.optimizers","_items.size_layers","_items.train_distribution","_settings","_users_cnt","activation","bc_type","iterations","learning_rate","learning_rates","loss_type","n_layers","net_type","num_boundary","num_domain","num_sample","num_samples","optimizer","optimizers","size_layers","train_distribution","accuracy_metric","loss_test","loss_train","steps"
"decent-sweep-281","finished","-","damien-bonnet","","2023-03-30T21:31:42.000Z","5147","hsnp1x74","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","sigmoid","hard","[3000,null]","[0.001,null]","","pde","6","USnet","","","","75","[""adam"",""L-BFGS""]","","100","Hammersley","0.00478347996249795","0.00002184357435908169","0.000029086559152347036","13000"
"vibrant-sweep-270","finished","-","damien-bonnet","","2023-03-30T19:32:35.000Z","6434","hsnp1x74","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","tanh","hard","[3000,null]","[0.001,null]","","pde","10","USnet","","","","75","[""adam"",""L-BFGS""]","","75","Hammersley","0.0039330171421170235","0.000010761900739453267","0.00001358620465907734","13000"
"denim-sweep-107","finished","-","damien-bonnet","","2023-03-29T05:18:18.000Z","12054","hsnp1x74","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","tanh","hard","[3000,null]","[0.001,null]","","pde","9","USnet","","","","75","[""adam"",""L-BFGS""]","","100","Hammersley","0.003805086016654968","0.000007644519428140484","0.000009735926141729578","13000"
"glowing-sweep-169","finished","-","damien-bonnet","","2023-03-29T15:37:44.000Z","11348","hsnp1x74","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","tanh","hard","[3000,null]","[0.001,null]","","pde","7","USnet","","","","75","[""adam"",""L-BFGS""]","","100","Hammersley","0.003479685401543975","0.000006695353022223571","0.000008074714060057886","13000"
"silvery-sweep-128","finished","-","damien-bonnet","","2023-03-29T08:39:19.000Z","12071","hsnp1x74","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","tanh","hard","[3000,null]","[0.001,null]","","pde","7","USnet","","","","100","[""adam"",""L-BFGS""]","","100","Hammersley","0.003464669920504093","0.000005656916982843541","0.000006988922905293293","13000"
"electric-waterfall-1151","finished","-","damien-bonnet","","2023-05-15T18:15:30.000Z","1515","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","tanh","hard","[3000,null]","","[0.001,null]","pde","3","Simplified_NN","","","","100","","[""adam"",""L-BFGS""]","100","Hammersley","0.00001123805395764066","0.000005039249572291737","0.000005741316272178665","13000"
"twilight-sweep-223","finished","-","damien-bonnet","","2023-03-30T11:33:03.000Z","6685","hsnp1x74","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","tanh","hard","[3000,null]","[0.001,null]","","pde","10","USnet","","","","75","[""adam"",""L-BFGS""]","","100","Hammersley","0.003529491601511836","0.0000068742738221772015","0.000008217277354560792","13000"
"stellar-sweep-291","finished","-","damien-bonnet","","2023-03-30T23:08:18.000Z","3305","hsnp1x74","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","sigmoid","hard","[3000,null]","[0.001,null]","","pde","3","USnet","","","","100","[""adam"",""L-BFGS""]","","100","Hammersley","0.003975154832005501","0.000007368612386926543","0.000008880570021574385","13000"
"frosty-sweep-230","finished","-","damien-bonnet","","2023-03-30T13:06:08.000Z","5980","hsnp1x74","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","tanh","hard","[3000,null]","[0.001,null]","","pde","7","USnet","","","","100","[""adam"",""L-BFGS""]","","75","Hammersley","0.0033231060951948166","0.000007945023753563873","0.000009657714144850615","13000"
"legendary-sweep-208","finished","-","damien-bonnet","","2023-03-30T09:36:01.000Z","6186","hsnp1x74","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","tanh","hard","[3000,null]","[0.001,null]","","pde","8","USnet","","","","75","[""adam"",""L-BFGS""]","","100","Hammersley","0.0036423085257411","0.000008750017514103092","0.00001070372400135966","13000"
